lambdap,lambdad,lambdaf,1-ARP,AGD,1-ILS,IPE,HR,NDCG
0,1,10000000,0.09904419,0.09023279,0.12700619,0.90839404,0.5784106,0.064813815
0,10,0,0.11486025,0.017864373,0.11250882,0.96547776,0.46718544,0.05448709
0,10,10,0.111842655,0.01811741,0.11734905,0.9622189,0.4578808,0.053597875
0,10,100,0.11240075,0.019331982,0.11392124,0.9616335,0.46115893,0.05353552
0,10,1000,0.11360457,0.018168015,0.11065982,0.9633749,0.46536428,0.05408732
0,10,10000,0.11087576,0.01993927,0.115431346,0.9602791,0.46516556,0.05443397
0,10,100000,0.1132614,0.026771257,0.087123536,0.95227736,0.47976822,0.05939293
0,10,1000000,0.110900745,0.029251013,0.06650516,0.96627074,0.47009936,0.05127872
0,10,10000000,0.11073222,0.045698382,0.082620725,0.9374795,0.50026494,0.05112953
0,100,0,0.11186971,0.016953442,0.12079376,0.9619358,0.4594702,0.056822706
0,100,10,0.11029885,0.017004048,0.12074475,0.96385705,0.45447016,0.05423075
0,100,100,0.11177351,0.016194332,0.120918095,0.96133405,0.45552984,0.05624581
0,100,1000,0.11083255,0.016548583,0.12063631,0.96162146,0.4539404,0.054626323
0,100,10000,0.106677756,0.017408906,0.110845245,0.96911466,0.4480795,0.052908055
0,100,100000,0.11183806,0.016953442,0.09661577,0.9491886,0.4699338,0.05901013
0,100,1000000,0.10795677,0.024746964,0.08449126,0.9549743,0.45430464,0.05593462
0,100,10000000,0.10846373,0.028188262,0.0672593,0.9646977,0.4597351,0.0498145
0.1,0,0,0.20635405,0.18446355,0.54858786,0.6877144,0.77172196,0.1663849
0.1,0,10,0.20624538,0.18395749,0.5457201,0.6894516,0.7728146,0.16517885
0.1,0,100,0.206237,0.18527327,0.54688895,0.688815,0.7713245,0.16573063
0.1,0,1000,0.20544119,0.18572874,0.54255354,0.69234943,0.7695695,0.16496399
0.1,0,10000,0.20204937,0.1915992,0.5213363,0.71446115,0.7669537,0.1606716
0.1,0,100000,0.17402971,0.20182185,0.39157796,0.7884372,0.71473515,0.1203048
0.1,0,1000000,0.080624044,0.25885627,0.24555507,0.7664151,0.4225828,0.0400338
0.1,0,10000000,0.02068482,0.32672065,0.25444284,0.699063,0.12519868,0.008315692
0.1,0.0001,0,0.18816559,0.2859818,0.5322242,0.74500674,0.88513243,0.24937668
0.1,0.0001,10,0.19013901,0.28608298,0.5254751,0.74444896,0.8796357,0.24597907
0.1,0.0001,100,0.1901462,0.2867409,0.5156631,0.7459129,0.8843709,0.24605282
0.1,0.0001,1000,0.18893415,0.28922063,0.520934,0.74688137,0.87913907,0.2472908
0.1,0.0001,10000,0.18228361,0.29245952,0.4833371,0.7697393,0.88185436,0.23881817
0.1,0.0001,100000,0.1471528,0.3019231,0.37086537,0.80556595,0.83115894,0.16824023
0.1,0.0001,1000000,0.07714627,0.32813767,0.25972313,0.74203366,0.57152313,0.056566358
0.1,0.0001,10000000,0.03293293,0.3081984,0.28649336,0.6552838,0.21907285,0.015197502
0.1,0.001,0,0.18132138,0.19240889,0.40250415,0.80808353,0.8749669,0.2438165
0.1,0.001,10,0.18321429,0.19129553,0.39976227,0.8071963,0.8776821,0.2449537
0.1,0.001,100,0.18461747,0.1896255,0.39895612,0.8067563,0.86940396,0.24065256
0.1,0.001,1000,0.1801,0.19230768,0.3948123,0.81167537,0.8761258,0.24311332
0.1,0.001,10000,0.17114267,0.19367409,0.36600032,0.8305734,0.86897355,0.22794978
0.1,0.001,100000,0.13420188,0.2021255,0.29830876,0.8480948,0.8225497,0.16288662
0.1,0.001,1000000,0.09046911,0.25030366,0.25544977,0.7973763,0.6971854,0.08754055
0.1,0.001,10000000,0.045209654,0.2951417,0.29550523,0.64902174,0.36599338,0.029369468
0.1,0.01,0,0.17899123,0.10824899,0.24637313,0.8507657,0.85592717,0.21150084
0.1,0.01,10,0.17965826,0.10566801,0.23961632,0.8525564,0.84635764,0.20812114
