lambdap,lambdad,lambdaf,ARP,AGD,ILS,IPE,HR,NDCG,
1,10,0,0.132638448,0.024776324,0.993462712,0.973491911,0.842047957,0.587806052,
1,10,10,0.130726559,0.023629272,0.99188972,0.969242021,0.841775612,0.58577243,
1,10,100,0.128125298,0.035099787,0.99382757,0.986761079,0.855936919,0.592092304,
1,10,1000,0.076283292,0.045882067,0.951427987,0.9329196,0.888888886,0.644489947,
1,10,10000,0.022589722,0.052534996,0.934274367,0.893736943,0.88698256,0.572109788,
1,10,100000,0.223925778,0.103922914,0.964436721,0.983482152,0.900599022,0.544784711,
1,10,1000000,0.357469058,0.200963531,0.895295908,0.867676293,0.900599176,0.556848288,
1,10,10000000,0.419470529,0.348245014,0.848685682,0.856761744,0.887254943,0.51265358,
1,100,0,0.142898637,0,0.983599995,0.95183975,0.835784352,0.571591343,
1,100,10,0.144190669,0.003670569,0.978432389,0.942938416,0.838507598,0.573614365,
1,100,100,0.129413964,0.0199587,0.976321072,0.975823353,0.860566401,0.579808422,
1,100,1000,0.102582328,0.023399854,0.99273304,0.983443594,0.858115423,0.589435206,
1,100,10000,0.056525122,0.040146819,0.955297708,0.92189859,0.852124215,0.545161011,
1,100,100000,0.019818677,0.047946771,0.94057837,0.89303087,0.86247274,0.527510966,
1,100,1000000,0.211077522,0.098417055,0.961858911,0.979956285,0.890795212,0.536170545,
1,100,10000000,0.367694262,0.206698788,0.893633205,0.864778527,0.892973858,0.556986418,
10,0,0,0.262476735,0.365221368,0.447190429,0.155057577,0.982026105,0.88501041,
10,0,10,0.263837918,0.364074317,0.453769555,0.165541995,0.977668916,0.881058529,
10,0,100,0.267194744,0.373480185,0.479577776,0.209834502,0.980936866,0.877273892,
10,0,1000,0.295380965,0.395962379,0.609402254,0.442275634,0.970588276,0.826529084,
10,0,10000,0.39756613,0.463867892,0.776422761,0.769036861,0.914487919,0.565412198,
10,0,100000,0.640679447,0.642807923,0.831831129,0.822303362,0.47004354,0.153603183,
10,0,1000000,0.887851904,0.743978025,0.770561366,0.661785791,0.170479266,0.041923923,
10,0,10000000,0.997548975,0.667813676,0.618092755,0.409479679,0.00953158,0.001779585,
10,0.0001,0,0.245514085,0.455379696,0.564042022,0.327241739,0.992374656,0.942020761,
10,0.0001,10,0.245080981,0.457215001,0.56654809,0.329586033,0.988834426,0.94310147,
10,0.0001,100,0.249255927,0.466620715,0.585400255,0.376028376,0.989651461,0.937283151,
10,0.0001,1000,0.285625897,0.476256021,0.670504518,0.564171817,0.986655793,0.876720486,
10,0.0001,10000,0.384492496,0.518008652,0.780370242,0.790405625,0.931917239,0.612161483,
10,0.0001,100000,0.605986207,0.643266817,0.835401823,0.842669846,0.573801707,0.190517946,
10,0.0001,1000000,0.864243989,0.797660065,0.79894734,0.743831458,0.19689545,0.047267777,
10,0.0001,10000000,0.983162855,0.729983893,0.695230171,0.524171442,0.023148132,0.004944571,
10,0.001,0,0.215862135,0.460656078,0.686360231,0.530525713,0.992919347,0.969747117,
10,0.001,10,0.219427051,0.463409056,0.686563613,0.53377585,1,0.977109403,
10,0.001,100,0.225578032,0.462720802,0.695876138,0.568465405,0.997548958,0.953491424,
10,0.001,1000,0.266533396,0.481991317,0.756033413,0.724976599,0.988562029,0.888624554,
10,0.001,10000,0.381979403,0.530396897,0.793049989,0.856547964,0.932734236,0.639057583,
10,0.001,100000,0.56380041,0.642807923,0.833087158,0.856799016,0.687908503,0.247951338,
10,0.001,1000000,0.798201492,0.772883691,0.801782339,0.789145396,0.30174292,0.079077569,
10,0.001,10000000,0.943122609,0.828171542,0.742689713,0.665092565,0.105119816,0.021792774,
10,0.01,0,0.174773519,0.359256712,0.824767461,0.728715817,0.995098031,1,
10,0.01,10,0.178499302,0.364991989,0.820012626,0.732141005,0.990740842,0.988740755,
10,0.01,100,0.188528108,0.35420969,0.83402011,0.790273801,0.998365993,0.972595937,
10,0.01,1000,0.237120518,0.367286092,0.86207721,0.885784808,0.983932508,0.883365901,
10,0.01,10000,0.360557014,0.41454464,0.843912816,0.895873156,0.944716756,0.662885001,
10,0.01,100000,0.500275205,0.53131453,0.822117886,0.888418283,0.834967368,0.401908843,
10,0.01,1000000,0.677873906,0.638908009,0.810293427,0.769755101,0.488289755,0.147582577,
10,0.01,10000000,0.837425424,0.76898372,0.786913526,0.742254629,0.221949896,0.055073481,
